HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
abortus, poba?aj	abortus	splav, izrodek	0	1	0	0	1	1	0	1	0	0
neuspio, jalov	vruchteloos	neuspešen, spodletel, ponesre?en	0	1	0	0	0	0	0	1	0	0
obilovati	_	obilen	0	0	0	0	0	0	0	0	0	0
gore naveden, ranije naveden, gore spomenut, ranije spomenut	bovenvermeld	zgoraj omenjen	1	0	0	0	0	0	0	0	0	0
abrazija, ogrebotina, istrošenost	schuring	odrgnina, praska	0	1	0	0	0	0	0	0	0	0
u inozemstvu, vani	_	v tujini	0	0	0	0	0	0	0	0	0	0
ukinuti, opozvati	afschaffen	odpraviti, razveljaviti, ukiniti, opustiti	0	1	0	0	0	0	0	0	0	0
nagao, iznenadan	abrupt	nenaden	0	0	0	0	0	0	0	0	1	0
naglo, iznenada	_	nenadno	0	0	0	0	0	0	0	0	0	0
gnojni ?ir, gnojna upala, apsces	abces	absces, ognojek	0	1	0	0	0	0	0	1	0	0
odsutnost, izostanak, nedostatak, izbivanje	afwezigheid	odsotnost, pomanjkanje	0	1	0	0	0	1	0	1	0	0
odsutan, neprisutan, nepostoje?i	afwezig	odsoten, zamišljen	0	1	0	0	0	0	0	1	0	0
odsutni	afwezige	manjkajo?	0	1	0	0	0	0	0	1	0	0
izostajanje	absenteïsme	izostajanje	0	1	0	0	0	0	0	0	0	0
apsint, pelinkovac	_	absint	0	0	0	0	0	0	0	0	0	0
apsolutan	absoluut	absoluten, popoln	1	0	0	0	0	0	0	0	0	0
oprost, odrješenje	absolutie, vergeving	odveza, odrešenje	1	0	0	0	0	0	1	0	0	1
upijen	geabsorbeerd	absorbiran	1	0	0	0	0	0	0	0	0	0
upijaju?i, apsorbiran	_	absorptiven, vpojen	0	0	0	0	0	0	0	0	0	0
upijaju?i, apsorbiraju?i	_	privla?en, zanimiv	0	0	0	0	0	0	0	0	0	0
upijanje, apsorpcija	_	vpijanje, absorpcija	0	0	0	0	0	0	0	0	0	0
suzdržavati se, apstinirati	_	vzdržati, odpovedati se	0	0	0	0	0	0	0	0	0	0
suzdržavanje	_	vzdržanost	0	0	0	0	0	0	0	0	0	0
apstinencija	_	abstinenca	0	0	0	0	0	0	0	0	0	0
apstraktan	_	abstrakten	0	0	0	0	0	0	0	0	0	0
apstrakcija	_	abstrakcija	0	0	0	0	0	0	0	0	0	0
apsurdno	absurd	absurden, nesmiseln	0	1	0	0	0	0	0	0	0	0
apsurd	absurditeit	absurd, nesmisel	0	1	0	0	0	0	0	0	0	0
obilje, izobilje	overvloed	obilje, obilica	1	1	0	1	1	0	1	0	0	1
obilan	overvloedig	obilen, bogat	1	0	0	0	0	0	1	0	0	0
zlostavljanje	misbruik	zloraba, mu?enje, izkoriš?ati, zlorabiti, kršiti	0	1	1	0	1	1	0	1	0	0
uporište	_	opornica	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
užasan, katastrofalan	onpeilbaar	grozen, obupen	0	1	0	0	0	0	0	1	0	0
bezdan	afgrond, leegte	brezno	0	1	0	0	0	1	0	1	0	0
akademski	academische, academisch	akademski	1	0	0	0	0	0	0	0	0	1
akademija	academie	akademija	1	0	0	0	0	0	0	0	0	0
pristupiti	_	pristopiti	0	0	0	0	0	0	0	0	0	0
ubrzati	versnellen	pospešiti	0	0	0	1	0	0	0	0	0	0
ubrzanje	_	pospešek	0	0	0	0	0	0	0	0	0	0
naglasak	_	naglas	0	0	0	0	0	0	0	0	0	0
naglasiti	_	poudariti	0	0	0	0	0	0	0	0	0	0
prihvatiti	_	sprejeti	0	0	0	0	0	0	0	0	0	0
prihvatljiv	aanvaardbaar	sprejemljiv	1	0	0	0	0	0	0	0	0	0
prihva?anje	aanvaarding	sprejem, prepri?anje, privolitev, prenašanje	1	0	0	0	0	0	0	0	0	0
pristup	_	dostop, dostopiti	0	0	0	0	0	0	0	0	0	0
dostupan	beschikbaar, toegankelijk	dostopen	1	0	0	0	0	0	0	0	0	0
pristupanje, pridruživanje	_	nastop	0	0	0	0	0	0	0	0	0	0
dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
nesre?a	ongeval, ongeluk	nesre?a, naklju?je	0	1	0	0	0	1	0	1	1	0
slu?ajan	per ongeluk, onopzettelijk	naklju?en, nezgoden	0	1	0	0	0	1	0	0	1	0
slu?ajno	per ongeluk, onopzettelijk	naklju?no	0	0	0	0	0	0	0	0	1	0
priznanje	accolade	priznanje, ?ast	1	0	0	1	0	0	1	0	1	1
smjestiti	_	nastaniti	0	0	0	0	0	0	0	0	0	0
smještaj	accommodatie	nastanitev	1	0	0	0	0	0	0	0	0	0
pratnja	begeleiding	spremljava	1	0	0	1	0	0	1	0	0	1
pratiti	_	spremljati	0	0	0	0	0	0	0	0	0	0
prate?i	_	spremljevalen	0	0	0	0	0	0	0	0	0	0
u?esnik, suu?esnik	_	sokrivec	0	0	0	0	0	0	0	0	0	0
posti?i, ostvariti	bereiken	dokon?ati, dose?i, opraviti	1	0	0	0	0	0	1	0	0	0
ostvaren	volbracht	izpolnjen, dosežen	1	0	0	0	0	0	1	0	0	0
postignu?e	prestatie	uresni?itev, dosežek	1	0	0	0	0	0	0	0	0	0
sporazum, suglasnost	overeenstemming	sporazum, dogovor	1	0	0	0	0	0	0	0	0	1
suglasnost	_	skladno	0	0	0	0	0	0	0	0	0	0
harmonika	_	harmonika	0	0	0	0	0	0	0	0	0	0
ra?un	account	ra?un	0	0	0	0	0	0	0	0	0	1
odgovornost	verantwoording	odgovornost	1	0	0	0	0	0	0	0	0	1
odgovoran	verantwoordelijk	odgovoren	1	0	0	0	0	0	0	0	0	1
ra?unovo?a	accountant	ra?unovodja	0	0	0	0	0	0	0	0	0	1
ra?unovodstvo	_	ra?unovodstvo	0	0	0	0	0	0	0	0	0	0
ra?uni	rekeningen	ra?un	0	0	0	0	0	0	0	0	0	1
akreditiran	geaccrediteerd	akreditiran	1	0	0	0	0	0	0	0	0	1
prirast	_	pove?anje	0	0	0	0	0	0	0	0	0	0
ste?i, ostvariti	_	nabrati	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	NO TRANSLATION	NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
akumulirati, nakupiti, skupiti	_	kopi?iti	0	0	0	0	0	0	0	0	0	0
akumulacija, nakupljanje	_	kopi?enje	0	0	0	0	0	0	0	0	0	0
to?nost	_	natan?nost	0	0	0	0	0	0	0	0	0	0
to?an	accuraat, nauwkeurig	natan?en	1	0	0	0	0	0	0	0	0	1
proklet, odvratan	vervloekt	preklet	0	1	1	0	0	1	0	1	0	0
optužba	beschuldiging	obtožba, obdolžitev, o?itek	0	1	1	0	1	0	0	0	0	0
akuzativ	accusatief	tožilnik, akuzativ	0	1	0	0	0	0	0	0	0	0
optuženik	beschuldigde	obtoženec	0	1	1	0	0	1	0	0	0	0
tužilac	aanklager	obtoževalec	0	1	1	0	0	1	0	0	0	0
optužuju?i	beschuldigen, beschuldigend	obtožiti, obdolžiti	0	1	1	0	0	1	0	0	0	0
navikao	_	navajen	0	0	0	0	0	0	0	0	0	0
as	aas	as	1	0	0	0	0	0	0	0	0	0
acetatan	_	oceten	0	0	0	0	0	0	0	0	0	0
bol	pijn	bole?ina	0	1	0	0	0	0	0	1	0	0
posti?i	bereiken	dose?i	1	0	0	0	0	0	1	0	0	1
dostignu?e, postignu?e	prestatie	dosežek	1	0	0	1	0	0	1	0	0	1
bolan	pijnlijke	boleti, bole?	0	1	0	0	0	0	0	1	0	0
kiselina, kiseo	zuur	kislina, kisel	0	1	0	0	0	0	0	0	0	0
kiselost	_	kislost	0	0	0	0	0	0	0	0	0	0
priznati	_	priznati	0	0	0	0	0	0	0	0	0	0
priznati	_	priznan	0	0	0	0	0	0	0	0	0	0
priznanje	erkenning	priznanje, potrdilo	1	0	0	0	0	0	0	0	0	0
vrhunac	_	vrhunec	0	0	0	0	0	0	0	0	0	0
akusti?ki	_	akusti?en	0	0	0	0	0	0	0	0	0	0
akustika	_	akustika	0	0	0	0	0	0	0	0	0	0
upoznati	_	seznaniti	0	0	0	0	0	0	0	0	0	0
poznanik	_	znanec	0	0	0	0	0	0	0	0	0	0
upoznat	_	seznanjen	0	0	0	0	0	0	0	0	0	0
pristanak	_	privolitev	0	0	0	0	0	0	0	0	0	0
ste?i, dobiti	verkrijgen	pridobiti, usvojiti	1	0	0	0	0	0	0	0	0	0
dobivanje, stjecanje	verwerven	pridobivanje, usvajanje	1	0	0	1	0	0	0	0	0	0
akvizicija, stjecanje	_	pridobitev	0	0	0	0	0	0	0	0	0	0
akvizicije	_	prevzemi, akvizicije	0	0	0	0	0	0	0	0	0	0
površina u jutrima, površina u ralima	_	površina	0	0	0	0	0	0	0	0	0	0
jutra, rali	_	hektar	0	0	0	0	0	0	0	0	0	0
akrobat	acrobaat	akrobat	1	0	0	0	0	1	1	0	0	1
?in, djelo	_	ukrepati, dejanje	0	0	0	0	0	0	0	0	0	0
koji djeluje	_	igrati	0	0	0	0	0	0	0	0	0	0
djelovanje, akcija	actie	delovanje	1	0	0	0	0	0	0	0	0	0
utuživ	actiegericht	tožljiv	0	1	1	0	1	0	0	0	0	0
aktivan	_	aktiven	0	0	0	0	0	0	0	0	0	0
aktivnost	_	dejavnost	0	0	0	0	0	0	0	0	0	0
glumac, sudionik	_	igralec	0	0	0	0	0	0	0	0	0	0
stvaran, pravi, zbiljski, realan	werkelijk	dejanski	1	0	0	0	0	0	0	0	0	0
stvarnost, realnost	_	dejstvo	0	0	0	0	0	0	0	0	0	0
aktuar	_	aktuar	0	0	0	0	0	0	0	0	0	0
oštrina	scherpheid	ostrina	1	0	0	0	0	0	0	0	0	0
oštroumnost, pronicljivost	scherpzinnigheid	bistroumnost, daljnovidnost	1	0	0	0	0	0	0	0	0	0
akupunktura	_	akupunktura	0	0	0	0	0	0	0	0	0	0
akutno, oštro, izrazito	_	skrajen	0	0	0	0	0	0	0	0	0	0
poslovica, izreka	_	pregovor	0	0	0	0	0	0	0	0	0	0
nepopustljiv	_	nepopustljiv	0	0	0	0	0	0	0	0	0	0
prilagoditi	zich aanpassen	prilagoditi	1	0	0	0	0	0	0	0	0	0
prilagodljiv	aanpasbaar	prilagodljiv	1	0	0	0	0	0	0	0	0	0
dodati	_	dodati	0	0	0	0	0	0	0	0	0	0
dodano	_	dodan	0	0	0	0	0	0	0	0	0	0
dodatak, prilog, dopuna	_	dopolnilo	0	0	0	0	0	0	0	0	0	0
guja	adder	gad	0	1	1	0	1	1	0	1	0	0
ovisnost	verslaving	zasvojenost	0	1	0	0	0	0	0	0	0	0
dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
dodatni	_	dodaten	0	0	0	0	0	0	0	0	0	0
aditiv, dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
adresa, osloviti, obratiti se	_	naslov, nasloviti	0	0	0	0	0	0	0	0	0	0
adresat, primatelj	_	naslovnik	0	0	0	0	0	0	0	0	0	0
adrese	adressen	naslov, nasloviti	1	0	0	1	0	0	0	0	0	0
vješt	bedreven, vakkundig, bekwaam	spreten, izkušen	1	0	0	0	0	0	0	0	0	0
dostatnost, primjerenost	adequaatheid	zadostnost, primernost	1	0	0	0	0	0	0	0	0	0
adekvatan, dostatan, primjeren	_	primeren	0	0	0	0	0	0	0	0	0	0
prianjati, držati se	_	držati se	0	0	0	0	0	0	0	0	0	0
prianjanje, odanost, privrženost	_	oprijemanje	0	0	0	0	0	0	0	0	0	0
prianjaju?i, sljedbenik, pristaša	_	oprijemljiv	0	0	0	0	0	0	0	0	0	0
pridržavaju?i se, drže?i se	zelfklevend	lepiti se, držati se	0	0	0	0	0	0	0	0	0	1
prianjanje, privrženost	_	adhezija	0	0	0	0	0	0	0	0	0	0
adheziv, ljepilo	_	lepljiv, lepilo	0	0	0	0	0	0	0	0	0	0
zbogom	_	zbogom	0	0	0	0	0	0	0	0	0	0
mastan	adipeus	maš?oba, maš?evje	0	1	0	0	0	0	0	0	0	0
susjedstvo	_	sosedstvo	0	0	0	0	0	0	0	0	0	0
susjedan	_	bližnji, soseden	0	0	0	0	0	0	0	0	0	0
pridjev	_	pridevnik	0	0	0	0	0	0	0	0	0	0
susjedan, grani?an	_	sosednji	0	0	0	0	0	0	0	0	0	0
odgoditi	_	prekiniti	0	0	0	0	0	0	0	0	0	0
odlaganje, odga?anje	_	prekinitev	0	0	0	0	0	0	0	0	0	0
presuditi	berechten	razsoditi	0	1	0	0	0	1	0	0	0	0
presuda	_	presoja	0	0	0	0	0	0	0	0	0	0
dodatak	adjunct	dodatek	1	0	0	0	0	0	0	0	0	0
prilagoditi	_	popraviti, prilagoditi	0	0	0	0	0	0	0	0	0	0
podešavanje, prilagodba, usuglašavanje, uskla?ivanje	_	prilagoditev	0	0	0	0	0	0	0	0	0	0
katalizator	_	adjuvant	0	0	0	0	0	0	0	0	0	0
primijeniti, provesti	_	upravljati	0	0	0	0	0	0	0	0	0	0
uprava, administracija	_	uprava	0	0	0	0	0	0	0	0	0	0
upravni, administrativni	administratief	upraven, administrativen	0	0	0	0	0	0	0	0	0	1
hvale vrijedan	bewonderenswaardig	odli?en, ob?udovanja vreden	1	0	0	0	0	0	1	0	0	1
admiral	admiraal	admiral	1	0	0	0	0	0	0	0	0	1
admiralitet	_	admiraliteta	0	0	0	0	0	0	0	0	0	0
divljenje	bewondering	ob?udovanje	1	0	0	0	0	0	1	0	0	1
diviti se	bewonderen	ob?udovati	1	0	0	0	0	0	0	0	0	1
obožavatelj	bewonderaar	ob?udovalec	1	0	0	0	0	0	0	0	0	0
dopuštenost, prihvatljivost	_	dopustnost	0	0	0	0	0	0	0	0	0	0
dopustiv, prihvatljiv	toelaatbaar	dopusten	1	0	0	0	0	0	0	0	0	1
ulaz, pristup	_	vstop	0	0	0	0	0	0	0	0	0	0
priznati	_	priznati	0	0	0	0	0	0	0	0	0	0
pravo pristupa, dopuštanje	_	sprejem	0	0	0	0	0	0	0	0	0	0
dopušten	_	sprejet	0	0	0	0	0	0	0	0	0	0
priznaju?i, dopuštaju?i	_	priznati	0	0	0	0	0	0	0	0	0	0
primjesa, dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
opomena, upozorenje	vermaning	opomin	0	1	0	0	0	1	0	0	0	0
trud	_	trud	0	0	0	0	0	0	0	0	0	0
nepe?ena cigla, nepe?ena opeka, ?erpi?	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
mladost, adolescencija	_	mladostništvo, adolescenca	0	0	0	0	0	0	0	0	0	0
adolescent, tinejdžer	_	mladostnik	0	0	0	0	0	0	0	0	0	0
posvojiti, usvojiti	_	posvojiti	0	0	0	0	0	0	0	0	0	0
posvajanje, usvajanje	_	posvojitev	0	0	0	0	0	0	0	0	0	0
divan, ljubak	liefelijk	o?arljiv	1	0	0	0	0	0	1	0	0	0
obožavanje, divljenje	aanbidding	oboževanje	1	0	0	0	0	0	1	0	0	1
obožavati	dol zijn op	oboževati	1	0	0	1	0	0	1	0	0	1
krasiti, ukrasiti	_	krasiti	0	0	0	0	0	0	0	0	0	0
ukras	_	okras	0	0	0	0	0	0	0	0	0	0
zalutao, prepušten sam sebi	drijvend	zmeden	0	1	0	1	0	1	0	1	0	0
odrasla osoba	_	odrasel	0	0	0	0	0	0	0	0	0	0
izvrnut, iskrivljen	vervalst	pokvarjen, ponarejen	0	1	0	0	0	0	0	0	0	0
preljubništvo, preljub	overspel	prešuštvo	0	1	0	0	1	0	0	1	0	0
napredovati, unaprijediti, poboljšati	van te voren, vooruitgaan	napredovati, pospešiti, napredovanje, predhoden	1	0	0	1	0	1	1	0	1	0
napredan	gevorderd	napreden	1	0	0	0	0	0	0	0	0	0
napredak	vordering	napredovanje	1	0	0	0	0	0	0	0	0	0
napreduju?i	_	napredovanje	0	0	0	0	0	0	0	0	0	0
prednost, blagodat, korist	voordeel	prednost	1	0	0	0	0	0	0	0	0	0
povoljan, koristan	voordelig	ugoden	1	0	0	0	0	0	0	0	0	0
dolazak, pojava	komst, advent	prihod	1	0	0	1	0	0	1	0	0	1
avantura, pustolovina	avontuur	pustolovš?ina	1	0	0	1	0	0	0	0	0	0
pustolov, avanturist	_	pustolovec	0	0	0	0	0	0	0	0	0	0
pustolovan	avontuurlijk	pustolovski	1	0	0	0	0	0	0	0	0	0
protivnik, suparnik	tegenstander	nasprotnik	0	1	1	0	0	0	0	0	0	0
štetan, nepovoljan, protivni?ki	nadelige	nasproten	0	1	1	0	1	1	0	1	0	0
neda?a, nevolja	tegenslag	nesre?a	0	1	1	0	0	1	0	1	0	0
oglašavati, reklamirati	_	oglaševati	0	0	0	0	0	0	0	0	0	0
oglas, reklama	_	oglas, oglaševanje	0	0	0	0	0	0	0	0	0	0
savjet	advies, raad	nasvet	0	0	0	0	0	0	0	0	0	1
preporu?ljiv	raadzaam	priporo?ljiv	1	0	0	0	0	0	0	0	0	1
savjetovati	adviseren, raad geven	svetovati	1	0	0	0	0	0	0	0	0	1
savjetovan	adviseerde	informiran	0	0	0	0	0	0	0	0	0	1
razmatranje	_	svetovanje	0	0	0	0	0	0	0	0	0	0
savjetnik	raadgever	svetovalec	1	0	0	0	0	0	0	0	0	1
zagovaranje, propagiranje	voorspraak, verdediging, pleit	zagovarjanje	1	0	1	1	0	0	1	0	0	1
pristalica, pobornik, zagovornik	pleiten voor	zagovarjati	0	0	0	0	0	0	0	0	0	1
okrilje	_	patronat	0	0	0	0	0	0	0	0	0	0
ventilacija, prozra?ivanje	_	prezra?evanje	0	0	0	0	0	0	0	0	0	0
zra?ni	_	zra?en, letalski	0	0	0	0	0	0	0	0	0	0
aerodrom, zrakoplovna luka	_	letališ?e	0	0	0	0	0	0	0	0	0	0
aerodinamika	_	aerodinamika	0	0	0	0	0	0	0	0	0	0
aeronautika	_	aeronavtika	0	0	0	0	0	0	0	0	0	0
zrakoplov, avion	_	letalo	0	0	0	0	0	0	0	0	0	0
estetski	esthetisch	estetski	1	0	0	0	0	0	0	0	0	0
estetika	schoonheidsleer, esthetiek, esthetica	estetika	1	0	0	0	0	0	1	0	0	0
etiologija	_	etiologija	0	0	0	0	0	0	0	0	0	0
izdaleka, nadaleko	_	dale?	0	0	0	0	0	0	0	0	0	0
ljubazan	minzaam	prijazen	1	0	0	0	0	0	0	0	0	0
posao	_	zadeva, afera	0	0	0	0	0	0	0	0	0	0
koji utje?e	_	vplivati	0	0	0	0	0	0	0	0	0	0
ljubav, naklonost, sklonost, privrženost	genegenheid, afffectie 	naklonjenost, ljubezen	1	0	0	0	0	0	1	0	0	1
sklonosti	_	naklonjenost	0	0	0	0	0	0	0	0	0	0
poster	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
pismena izjava, izjava pod zakletvom	_	zaprisežena pisna izjava	0	0	0	0	0	0	0	0	0	0
povezan, udružen	aangesloten, verbonden	podružen	1	0	0	0	0	0	0	0	0	0
pripadanje, pripadnost	_	pripadnost	0	0	0	0	0	0	0	0	0	0
sklonost, afinitet	_	naklonjenost	0	0	0	0	0	0	0	0	0	0
potvrditi	bevestigen	potrditi	1	0	0	0	0	0	0	0	0	1
potvr?ivanje, potvrda	bevestiging	potrditev	1	0	0	0	0	0	0	0	0	0
potvrdan	bevestigend	pritrdilen	1	0	0	0	0	0	0	0	0	0
potvrdno	bevestigend	pritrdilno	1	0	0	0	0	0	0	0	0	1
pri?vrstiti, pripojiti	_	pritrditi	0	0	0	0	0	0	0	0	0	0
povrijediti, pogoditi	teisteren, treffen	mu?iti, prizadeti	0	1	0	0	0	1	0	1	0	0
pogo?en, zahva?en	geteisterd, getroffen	prizadet	0	1	0	0	0	0	0	0	0	0
nesre?a, nevolja, bol	aandoening, kwelling	stiska	0	1	0	0	1	1	0	1	0	0
obilje, bogatstvo, izobilje	rijkdom	blaginja	1	0	0	0	0	0	1	0	0	0
bogat, imu?an	in rijkdom	premožen	1	0	0	0	0	0	0	0	0	0
priuštiti	veroorloven	privoš?iti si	1	0	0	0	0	0	0	0	0	0
uvreda	belediging, beledigen	žalitev, žaliti, izzivanje, izzivati	0	1	1	0	1	1	0	1	1	0
udaljen	_	oddaljen	0	0	0	0	0	0	0	0	0	0
naprijed, prednji, prethodni	_	prej	0	0	0	0	0	0	0	0	0	0
ranije spomenuti, gore spomenut, gore naveden, ranije naveden	_	prej omenjen	0	0	0	0	0	0	0	0	0	0
ranije spomenuti, gore spomenut, gore naveden, ranije naveden	_	prej omenjen	0	0	0	0	0	0	0	0	0	0
uplašen	bang	prestrašen	0	1	0	0	0	1	0	0	0	0
iznova, nanovo	_	znova	0	0	0	0	0	0	0	0	0	0
straga, stražnji	_	zadaj	0	0	0	0	0	0	0	0	0	0
posljedica	nasleep	posledica	0	1	1	0	1	1	0	1	0	0
poslijepodne, popodne	_	popoldne	0	0	0	0	0	0	0	0	0	0
zaostali ukus u ustima	nasmaak	priokus	0	1	0	0	0	0	0	0	0	0
usputna misao, primisao	_	naknadna misel	0	0	0	0	0	0	0	0	0	0
aga	NO TRANSLATION	aga	1	0	0	0	0	1	0	0	0	1
ahat	_	ahat	0	0	0	0	0	0	0	0	0	0
dob, vijek, era, razdoblje	_	starost, doba era, epoha	0	0	0	0	0	0	0	0	0	0
star	_	postaran, star	0	0	0	0	0	0	0	0	0	0
agencija, posredstvo	_	agencija	0	0	0	0	0	0	0	0	0	0
agent, izvršitelj	_	agent	0	0	0	0	0	0	0	0	0	0
aglomeracija, nagomilavanje	_	aglomeracija	0	0	0	0	0	0	0	0	0	0
pogoršan	geërgerd	poslabšan	0	1	1	0	0	0	0	0	0	0
otegotan, pogoršavaju?i	verzwarend, belastend	zoprn, slabšati	0	1	1	0	0	0	0	1	0	0
pogoršanje, izazivanje	verergering	poslabšanje	0	1	1	0	1	0	0	0	0	0
skupina, skup, agregat, ukupan, sveukupan	_	agregat	0	0	0	0	0	0	0	0	0	0
agregacija, skupljanje, akumuliranje	_	združevanje	0	0	0	0	0	0	0	0	0	0
agresija, napad, nasrtaj	agressie	nasilje, napad	0	1	1	0	0	1	0	0	0	0
agresivan, napadan, nasrtljiv	agressief	napadalen, nasilen	0	1	1	0	0	1	0	0	0	0
agresor, napada?	agressor	napadalec	0	1	1	0	0	1	0	0	0	0
prestravljen, užasnut	ontzet	osupel, zgrožen	0	1	0	0	1	1	0	0	1	0
okretan, agilan, spretan	behendig	spreten	1	0	0	0	0	0	0	0	0	0
agilnost, okretnost, spretnost	behendigheid	okretnost	1	0	0	0	0	0	0	0	0	0
uzrujan, nemiran, živ?an, uznemiren	opgewonden, onrustig	vznemirjen	0	1	1	0	0	0	0	0	0	0
agitacija, uznemirenost, uzrujanost	agitatie, onrust	vznemirjenost	0	1	1	0	0	0	0	0	0	0
agnostik, agnosti?ki	_	agnostik	0	0	0	0	0	0	0	0	0	0
prije	_	daven	0	0	0	0	0	0	0	0	0	0
bolan, mu?an, nesnosan	pijnlijke	mu?en, neznosen	0	1	0	0	0	1	0	0	0	0
agonija, patnja, muka	doodsangst	agonija	0	1	1	0	0	1	0	1	0	0
složiti se	mee eens	strinjati se	1	0	0	0	0	0	0	0	0	0
prijatan, ugodan	aangenaam	prijeten	1	0	0	0	0	0	0	0	0	1
dogovoren	akkoord	dogovorjen	1	0	0	0	0	0	0	0	0	1
slažu?i se	akkoord gaan	strinjati se	1	0	0	0	0	0	0	0	0	1
sporazum, dogovor, slaganje	overeenkomst	sporazum	1	0	0	0	0	0	0	0	0	1
poljoprivredni, poljodjelski, zemljoradni?ki, agrikulturni, ratarski, 	_	kmetijski	0	0	0	0	0	0	0	0	0	0
poljoprivreda, poljodjelstvo, ratarstvo, agrikultura	landbouw	kmetijstvo	1	0	0	0	0	0	0	0	0	0
nasukan	aan de grond	ozemljen	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
naprijed, ispred, predstoje?i	verder	naprej	1	0	0	0	0	0	0	0	0	0
pomo?	steun	pomo?	1	0	0	0	0	0	0	0	0	0
pomaganje, pomažu?i	helpen	pomagati	1	0	0	0	0	0	0	0	0	0
tištati, zadati bol	pijn doen, hinderen	pestiti	0	1	0	0	0	0	0	1	0	0
bolan	ziekelijk, pijnlijk, hinderend	šibek	0	1	0	0	0	1	0	1	0	0
oboljenje, bolest, tegoba, boljka	_	tegoba	0	0	0	0	0	0	0	0	0	0
cilj, ciljati, svrha, namjera, namjeravati	_	nameriti, cilj	0	0	0	0	0	0	0	0	0	0
besciljan	doelloos	brezciljen	0	1	0	0	0	0	0	0	0	0
