"domain","editorial","croatia_link","segment","evidence_url","note"
"pcchip.hr","TRUE","TRUE","national","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=17","AEM publication registry confirms Croatian publisher; technology editorial portal."
"plavakamenica.hr","TRUE","TRUE","national","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=42","AEM registered publication with Zagreb publisher; food and hospitality editorial outlet."
"poduckun.net","TRUE","TRUE","regional","https://poduckun.net/inf/impressum/","Own regional news magazine identity and Opatija publisher."
"porestina.info","TRUE","TRUE","regional","https://porestina.info/kontakt/impressum/","Daily electronic publication and Porec publisher."
"pozeska-kronika.hr","TRUE","TRUE","regional","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=26","AEM registered local newspaper internet edition in Pozega."
"prelog.hr","FALSE","TRUE","institutional","https://www.prelog.hr/uprava/gradska-uprava/gradska-uprava/a13","Official municipal administration website."
"profitiraj.hr","TRUE","TRUE","national","https://profitiraj.hr/impressum/","Zagreb business newsroom and publisher."
"ravnododna.com","TRUE","TRUE","national","https://aem.hr/wp-content/uploads/2026/01/4.-Stogodisnji-rat.pdf","Publisher-submitted imprint archived by regulator identifies Zagreb pop-culture newsroom; current own imprint returns403."
"rijeka.hr","FALSE","TRUE","institutional","https://www.rijeka.hr/","Official municipal website."
"rogotin.hr","TRUE","TRUE","regional","https://www.rogotin.hr/impressum/","Rogotin publisher association and named editor; Neretva local scope."
"she.hr","TRUE","TRUE","national","https://she.hr/impressum/","Croatian lifestyle editorial portal; Zagreb publisher."
"sibenik.hr","FALSE","TRUE","institutional","https://www.sibenik.hr/","Official municipal website."
"smn.hr","FALSE","TRUE","institutional","https://smn.hr/kontakt","Official Split-Makarska archdiocese website; diocesan sites explicitly excluded."
"srce.hr","FALSE","TRUE","institutional","https://podrska.srce.hr/","University of Zagreb computing centre institutional website."
"srednja.hr","TRUE","TRUE","national","https://www.srednja.hr/stranice/9/impressum","Zagreb publisher and editorial staff."
"studentski.hr","TRUE","TRUE","national","https://studentski.hr/impressum","Zagreb publisher and independent editorial staff; student and general news."
"teklic.hr","TRUE","TRUE","regional","https://www.teklic.hr/impressum/","Rijeka publisher and editorial staff; AEM registration."
"tockanai.hr","TRUE","TRUE","national","https://tockanai.hr/o-nama-tocka-na-i-media/","Zagreb publisher and business editorial mission."
"turizmoteka.hr","TRUE","TRUE","national","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15","AEM registered tourism electronic publication with Zagreb publisher."
"vidi.hr","TRUE","TRUE","national","https://m.vidi.hr/index.php/o-vidiju/content/61-o-vidiju","Own imprint identifies Zagreb technology publisher."
"vukovar.hr","FALSE","TRUE","institutional","https://www.vukovar.hr/","Official municipal website."
"womeninadria.com","TRUE","TRUE","national","https://womeninadria.com/impressum/","Zagreb publisher and editorial staff; business and careers."
"zagrebonline.hr","TRUE","TRUE","regional","https://zagrebonline.hr/info/impressum/","Zagreb publisher and editorial staff; explicit city-oriented mission."
"zastita.info","TRUE","TRUE","national","https://www.zastita.info/hr/impressum/","Independent security trade news magazine with Zagreb publisher and editorial staff."
"znanje.hr","FALSE","TRUE","non_news","https://znanje.hr/o-nama","Bookseller and publisher shop rather than news publisher."
"adiva.hr","FALSE","TRUE","non_news","https://www.adiva.hr/adiva/o-nama/adiva-podrska-vasem-zdravlju/","Health advice portal is explicitly part of pharmacy customer programme; exclusion is publisher-function judgement rather than health-topic exclusion."
"culturenet.hr","FALSE","TRUE","institutional","https://www.culturenet.hr/impresum/hr/87661","Publisher is Ministry of Culture and Media; newsroom is its public communication service."
"gizzmo.hr","FALSE","TRUE","non_news","https://gizzmo.hr/","Online accessories retailer serving Croatia."
"hrportfolio.hr","FALSE","TRUE","non_news","https://hrportfolio.hr/kontakt","Website of licensed market intermediary rather than distinct news publisher."
"itnovosti.com","FALSE","TRUE","aggregator","https://www.itnovosti.com/","Homepage presents external outlets and links as Croatian IT news aggregation."
"kaj.hr","TRUE","TRUE","regional","https://kaj.hr/kontakt/","Zagreb regional broadcaster with own news staff and northwest Croatia coverage."
"poljoprivredni-forum.com","FALSE","","non_news","https://poljoprivredni-forum.com/","User discussion forum; Croatia publisher/audience link not independently established and unnecessary for exclusion."
"preporucamo.com","TRUE","TRUE","national","https://preporucamo.com/redakcija-o-nama/","Independent technology news and reviews newsroom, Zagreb publisher."
"pula.hr","FALSE","TRUE","institutional","https://www.pula.hr/hr/kontakti/","Official municipal contact page."
"radiomegaton.hr","TRUE","TRUE","regional","https://radiomegaton.hr/kontakt-formular/","Vidovec broadcaster with editor and reporting staff."
"sbperiskop.net","TRUE","TRUE","regional","https://www.sbperiskop.net/impresum","Own imprint identifies newsroom; site identifies itself as Brod web magazine."
"split.hr","FALSE","TRUE","institutional","https://split.hr/gradska-uprava/rad-sa-strankama","Official municipal administration page."
"svijet-medija.hr","FALSE","TRUE","non_news","https://www.svijet-medija.hr/","Croatian electronics retailer."
"tower-center-rijeka.hr","FALSE","TRUE","non_news","https://tower-center-rijeka.hr/","Shopping centre website."
"tris.com.hr","TRUE","TRUE","regional","https://www.aem.hr/wp-content/uploads/2023/01/6.-Solidarna-Solidarna.pdf","Publisher-submitted imprint archived by regulator identifies independent news portal and Sibenik publisher; own imprint410."
"hcl.hr","TRUE","TRUE","national","https://www.hcl.hr/impressum/","Original gaming newsroom; own https://www.hcl.hr/oglasavanje/ identifies Croatian gaming portal and Croatian audience. Games service exclusion does not cover journalism."
"goodgame.hr","TRUE","TRUE","national","https://www.goodgame.hr/impressum/","Named gaming newsroom and Croatian editorial lineage (XboxCroatia and PSPCroatia founding projects); Croatian audience link is metadata-based inference. Games service exclusion does not cover journalism."
"klik.hr","FALSE","TRUE","aggregator","https://klik.hr/kontakt","Own imprint explicitly describes automated RSS collection from over100 Croatian portals."
"logicno.com","TRUE","FALSE","political_portal","https://www.logicno.com/uvjeti-koristenja-i-privatnost","Own terms identify Brcko BiH publisher; no positive Croatian editorial or audience link established beyond shared language. Croatia exclusion is evidence-limited judgement."
"magicus.info","FALSE","TRUE","non_news","https://www.magicus.info/info/clanak/impressum","Own imprint describes open self-publication community; registered users post and carry responsibility for their content; Zagreb association."
"iusinfo.hr","FALSE","TRUE","non_news","https://www.iusinfo.hr/","Primary identity is Croatian legal information database and subscription service; no distinct named news newsroom established."
"casopiskvaka.com.hr","TRUE","TRUE","national","https://www.casopiskvaka.com.hr/p/impresum-kvaka-casopis-za-knjizevnost.html","Velika Gorica cultural association; named editors and editorial board select literary journalism including news, interviews and criticism alongside creative writing. Publication-level specialist cultural inclusion."
"creativabox.com","FALSE","","non_news","https://creativabox.com/about/","Own about page identifies recipe and food community with DIY ideas; no distinct news publication. Croatian link unknown and unnecessary to explicit non-news exclusion; no foreign location inferred from language."
"estetica.hr","TRUE","TRUE","national","https://estetica.hr/o-nama/","Current own about/footer identifies ESTETICA PREMIUM PORTAL d.o.o. Zagreb and separate newsroom contact; specialist aesthetic medicine/lifestyle publication with interviews and columns. Earlier START DESIGN contact is stale."
"extravagant.com.hr","TRUE","TRUE","regional","https://extravagant.com.hr/pravila-privatnosti/","Own operator is Extravagant obrt in Skrljevo/Bakar; masthead identifies Rijeka fashion/lifestyle/interview/video magazine. Regional remit is metadata-based operational judgement."
"grabancijas.com","TRUE","TRUE","national","https://grabancijas.com/privacy-policy/","Own privacy names Epiphany Publishing Zagreb; own editorial-values page specifies journalistic standards across business, politics and technology. Named editor Tomislav Tustic in own publisher metadata. National is operational, not ideology."
"hop.com.hr","TRUE","TRUE","political_portal","https://www.hop.com.hr/","Own news/column product names editor Igor Drenjancevic; explicit Croatia versus world and county-news navigation supplies positive Croatian audience evidence. Legal publisher address unverified; Croatia link is documented audience inference. Political_portal denotes public-affairs/column remit, not ideology."
"jolie.hr","TRUE","TRUE","national","https://jolie.hr/opci-uvjeti-koristenja/","Own terms identify ASTI Zagreb publisher; own anniversary/launch metadata names Anita Radovcic as chief editor. Distinct lifestyle/news/interview publication despite advertising-business ownership."
"mojtv.hr","TRUE","TRUE","national","https://mojtv.hr/m2/impressum.aspx","Samobor MojTV Portal publisher and named editor. Include only desktop /magazin/<integer>/<slug>.aspx and mobile /m2/magazin/clanak.aspx?id=<integer> news paths; exclude schedules, film/show databases and forums. Document study-local article-ID aliases; see review markdown."
"seebiz.eu","TRUE","TRUE","national","https://www.seebiz.eu/impressum/","Current named newsroom; archived own imprint identifies Infoweb and HND records Infoweb/SEEbiz among contracted Croatian media publishers. Croatia link relies on historical publishing relationship plus current newsroom continuity; current publisher address unverified."
"svejetu.hr","FALSE","TRUE","non_news","https://www.svejetu.hr/o-nama","Own about identifies Invisit in Velika Croatia and explicitly describes aggregation of shopping discounts and group-buying offers. Commercial offer service, not news publication."
