rid,register,response,date,year,month,stream,otype,object,voice,unit,object_agree_n,voice_agree_n,unit_agree_n,coding_source_v2
116803,charity,Charitable response,2022-02-10,2022,2022-02,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
117151,charity,Charitable response,2022-03-11,2022,2022-03,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
117771,institution,Public voice,2022-06-10,2022,2022-06,monitoring,Catholic,own,sector,order,3,3,3,prior_three_run_majority
118966,other,,2022-10-10,2022,2022-10,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119019,other,,2022-10-10,2022,2022-10,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119646,devotional,,2022-04-12,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119743,devotional,,2022-04-12,2022,2022-04,monitoring,Secular/other,,,order,,,2,prior_three_run_majority
119767,devotional,,2022-04-12,2022,2022-04,monitoring,Secular/other,,,order,,,2,prior_three_run_majority
119819,devotional,,2022-04-12,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119843,devotional,,2022-04-12,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119901,devotional,,2022-04-11,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119902,devotional,,2022-04-11,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119903,devotional,,2022-04-11,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119922,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
119933,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
119934,devotional,,2022-04-11,2022,2022-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
119957,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
119963,justice,Normative response,2022-04-11,2022,2022-04,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
119975,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
119997,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
120003,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
120026,institution,Public voice,2022-04-11,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
121719,charity,Charitable response,2022-12-12,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
121740,charity,Charitable response,2022-12-12,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
121781,charity,Charitable response,2022-12-11,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
121853,charity,Charitable response,2022-12-11,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
121896,charity,Charitable response,2022-12-11,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
123603,institution,Public voice,2022-07-13,2022,2022-07,monitoring,Secular/other,own,outside,order,3,3,3,prior_three_run_majority
125229,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
125232,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
125311,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
125313,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
125323,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
125481,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
125515,institution,Public voice,2022-04-14,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
125621,institution,Public voice,2022-04-13,2022,2022-04,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
126396,disputed,,2022-11-14,2022,2022-11,monitoring,Catholic,,,diocese,,,2,prior_three_run_majority
126528,charity,Charitable response,2022-11-14,2022,2022-11,monitoring,Business,,,caritas,,,3,prior_three_run_majority
126577,charity,Charitable response,2022-11-13,2022,2022-11,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
126601,charity,Charitable response,2022-11-13,2022,2022-11,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
127308,institution,Public voice,2022-02-15,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127422,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127446,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127448,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127452,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127462,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127469,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127479,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127480,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127487,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127489,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127493,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127502,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
127504,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127507,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127509,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127512,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127514,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127515,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127517,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127519,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
127521,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
127528,institution,Public voice,2022-02-14,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
130384,charity,Charitable response,2022-01-15,2022,2022-01,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
130671,charity,Charitable response,2022-04-16,2022,2022-04,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
130672,charity,Charitable response,2022-04-16,2022,2022-04,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
133944,institution,Public voice,2022-02-17,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
135410,devotional,,2022-07-16,2022,2022-07,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
136829,charity,Charitable response,2022-01-17,2022,2022-01,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
137200,institution,Public voice,2022-04-18,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
137210,institution,Public voice,2022-04-18,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
137283,institution,Public voice,2022-04-18,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
137297,institution,Public voice,2022-04-17,2022,2022-04,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
137322,institution,Public voice,2022-04-17,2022,2022-04,monitoring,Secular/other,both,sector,diocese,2,3,3,prior_three_run_majority
137345,institution,Public voice,2022-04-17,2022,2022-04,monitoring,Secular/other,both,sector,diocese,2,3,3,prior_three_run_majority
140157,charity,Charitable response,2022-03-18,2022,2022-03,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
140231,charity,Charitable response,2022-03-18,2022,2022-03,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
143034,institution,Public voice,2022-04-19,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
143108,institution,Public voice,2022-04-19,2022,2022-04,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
144784,charity,Charitable response,2022-12-19,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
146785,institution,Public voice,2022-10-21,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
146840,crl,Repricing,2022-10-21,2022,2022-10,monitoring,Catholic,,,parish,,,3,prior_three_run_majority
148754,other,,2022-08-22,2022,2022-08,monitoring,Catholic,,,none,,,3,prior_three_run_majority
150074,charity,Charitable response,2022-12-21,2022,2022-12,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
150592,crl,Repricing,2022-03-23,2022,2022-03,monitoring,Catholic,,,order,,,3,prior_three_run_majority
151880,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,2,3,prior_three_run_majority
151886,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151912,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151950,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151953,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151960,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151968,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151971,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
151986,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152003,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152004,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152008,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152032,institution,Public voice,2022-10-23,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152043,institution,Public voice,2022-10-22,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152190,crl,Repricing,2022-10-22,2022,2022-10,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
152211,institution,Public voice,2022-10-22,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
152225,crl,Repricing,2022-10-22,2022,2022-10,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
154461,disputed,,2022-11-23,2022,2022-11,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
154471,disputed,,2022-11-23,2022,2022-11,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
154971,institution,Public voice,2022-12-24,2022,2022-12,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
154998,institution,Public voice,2022-12-23,2022,2022-12,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
156669,devotional,,2022-09-25,2022,2022-09,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
157017,institution,Public voice,2022-09-24,2022,2022-09,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
157433,institution,Public voice,2022-10-24,2022,2022-10,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
160079,charity,Charitable response,2022-12-26,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
160293,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Secular/other,household,sector,diocese,2,3,3,prior_three_run_majority
160508,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Secular/other,household,sector,diocese,2,3,3,prior_three_run_majority
160572,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Secular/other,household,sector,diocese,2,3,3,prior_three_run_majority
160638,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Catholic,household,sector,diocese,2,3,3,prior_three_run_majority
160639,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Catholic,household,sector,diocese,2,3,3,prior_three_run_majority
160803,institution,Public voice,2022-12-25,2022,2022-12,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
162802,institution,Public voice,2022-01-28,2022,2022-01,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
163154,charity,Charitable response,2022-01-27,2022,2022-01,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
163160,institution,Public voice,2022-01-27,2022,2022-01,monitoring,Secular/other,own,outside,order,3,3,3,prior_three_run_majority
166375,devotional,,2022-03-29,2022,2022-03,monitoring,Secular/other,,,parish,,,2,prior_three_run_majority
168632,institution,Public voice,2022-01-29,2022,2022-01,monitoring,Secular/other,both,outside,church,2,3,3,prior_three_run_majority
169837,institution,Public voice,2022-08-30,2022,2022-08,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
169843,institution,Public voice,2022-08-30,2022,2022-08,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
170192,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170208,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170211,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170216,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170227,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170254,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170255,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170257,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,church,,,3,prior_three_run_majority
170258,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170259,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170283,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170285,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170289,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170292,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170294,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170298,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170299,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170304,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170308,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
170312,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170314,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170324,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
170328,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170329,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
170330,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
170331,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170333,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,2,prior_three_run_majority
170338,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,2,prior_three_run_majority
170351,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,church,,,3,prior_three_run_majority
170352,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170355,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Business,,,parish,,,3,prior_three_run_majority
170366,crl,Repricing,2022-12-30,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170424,crl,Repricing,2022-12-29,2022,2022-12,monitoring,Secular/other,,,parish,,,3,prior_three_run_majority
170499,crl,Repricing,2022-12-29,2022,2022-12,monitoring,Secular/other,,,conference,,,3,prior_three_run_majority
172870,institution,Public voice,2022-02-01,2022,2022-02,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
173034,institution,Public voice,2022-02-01,2022,2022-02,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
173038,institution,Public voice,2022-02-01,2022,2022-02,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
173058,institution,Public voice,2022-02-01,2022,2022-02,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
174063,charity,Charitable response,2022-09-01,2022,2022-09,monitoring,Catholic,,,none,,,3,prior_three_run_majority
174368,institution,Public voice,2022-08-31,2022,2022-08,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
174790,crl,Repricing,2023-02-01,2023,2023-02,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
177215,crl,Repricing,2023-01-03,2023,2023-01,monitoring,Secular/other,,,parish,,,2,prior_three_run_majority
177961,justice,Normative response,2023-04-02,2023,2023-04,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
178955,crl,Repricing,2023-08-03,2023,2023-08,monitoring,Secular/other,,,church,,,1,prior_three_run_majority
179270,justice,Normative response,2023-08-02,2023,2023-08,monitoring,Catholic,,,vatican,,,3,prior_three_run_majority
179893,institution,Public voice,2023-12-03,2023,2023-12,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
180323,institution,Public voice,2023-12-02,2023,2023-12,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
180397,institution,Public voice,2023-12-02,2023,2023-12,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
180977,crl,Repricing,2023-02-03,2023,2023-02,monitoring,Secular/other,,,church,,,3,prior_three_run_majority
183706,charity,Charitable response,2023-01-04,2023,2023-01,monitoring,Catholic,,,vatican,,,3,prior_three_run_majority
184232,institution,Public voice,2023-04-04,2023,2023-04,monitoring,Secular/other,own,sector,parish,3,3,3,prior_three_run_majority
184241,institution,Public voice,2023-04-04,2023,2023-04,monitoring,Secular/other,own,sector,parish,3,3,3,prior_three_run_majority
184374,institution,Public voice,2023-04-04,2023,2023-04,monitoring,Secular/other,own,sector,parish,3,3,3,prior_three_run_majority
184753,crl,Repricing,2023-05-04,2023,2023-05,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
186144,institution,Public voice,2023-12-04,2023,2023-12,monitoring,Secular/other,own,outside,none,3,3,2,prior_three_run_majority
186926,justice,Normative response,2023-03-05,2023,2023-03,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
192949,crl,Repricing,2023-06-08,2023,2023-06,monitoring,Secular/other,,,diocese,,,1,corpus_v1_addendum
193149,crl,Repricing,2023-06-07,2023,2023-06,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
194717,crl,Repricing,2023-01-09,2023,2023-01,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
194847,crl,Repricing,2023-01-09,2023,2023-01,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
194873,crl,Repricing,2023-01-09,2023,2023-01,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
200269,crl,Repricing,2023-01-10,2023,2023-01,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
200270,crl,Repricing,2023-01-10,2023,2023-01,monitoring,Secular/other,,,church,,,2,prior_three_run_majority
200380,crl,Repricing,2023-01-10,2023,2023-01,monitoring,Secular/other,,,church,,,2,prior_three_run_majority
205349,crl,Repricing,2023-01-12,2023,2023-01,monitoring,Secular/other,,,diocese,,,3,prior_three_run_majority
208268,charity,Charitable response,2023-03-14,2023,2023-03,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
208363,charity,Charitable response,2023-03-14,2023,2023-03,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
208890,justice,Normative response,2023-06-13,2023,2023-06,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
209060,crl,Repricing,2023-06-13,2023,2023-06,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
209605,institution,Public voice,2023-09-14,2023,2023-09,monitoring,Catholic,household,outside,none,2,2,3,prior_three_run_majority
215166,institution,Public voice,2023-09-16,2023,2023-09,monitoring,Secular/other,own,sector,parish,3,3,3,prior_three_run_majority
216304,crl,Repricing,2023-01-16,2023,2023-01,monitoring,Secular/other,,,church,,,3,prior_three_run_majority
217296,institution,Public voice,2023-08-17,2023,2023-08,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
217666,devotional,,2023-08-16,2023,2023-08,monitoring,Catholic,,,diocese,,,2,prior_three_run_majority
217702,devotional,,2023-08-16,2023,2023-08,monitoring,Secular/other,,,diocese,,,2,prior_three_run_majority
221181,institution,Public voice,2023-01-19,2023,2023-01,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
221194,institution,Public voice,2023-01-19,2023,2023-01,monitoring,Secular/other,own,sector,conference,3,3,3,prior_three_run_majority
226371,justice,Normative response,2023-10-19,2023,2023-10,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
