rid,object,voice,unit,object_agree_n,voice_agree_n,unit_agree_n,coding_source_v2
136829,,,caritas,,,3,prior_three_run_majority
137200,household,sector,diocese,3,3,3,prior_three_run_majority
137210,household,sector,diocese,3,3,3,prior_three_run_majority
137283,household,sector,diocese,3,3,3,prior_three_run_majority
137297,household,sector,diocese,3,3,3,prior_three_run_majority
137322,both,sector,diocese,2,3,3,prior_three_run_majority
137345,both,sector,diocese,2,3,3,prior_three_run_majority
140157,,,caritas,,,3,prior_three_run_majority
140231,,,caritas,,,3,prior_three_run_majority
143034,household,sector,diocese,3,3,3,prior_three_run_majority
143108,household,sector,diocese,3,3,3,prior_three_run_majority
144784,,,caritas,,,3,prior_three_run_majority
146785,own,sector,conference,3,3,3,prior_three_run_majority
146840,,,parish,,,3,prior_three_run_majority
148754,,,none,,,3,prior_three_run_majority
150074,,,caritas,,,3,prior_three_run_majority
150592,,,order,,,3,prior_three_run_majority
151880,own,sector,conference,3,2,3,prior_three_run_majority
151886,own,sector,conference,3,3,3,prior_three_run_majority
151912,own,sector,conference,3,3,3,prior_three_run_majority
151950,own,sector,conference,3,3,3,prior_three_run_majority
151953,own,sector,conference,3,3,3,prior_three_run_majority
151960,own,sector,conference,3,3,3,prior_three_run_majority
151968,own,sector,conference,3,3,3,prior_three_run_majority
151971,own,sector,conference,3,3,3,prior_three_run_majority
151986,own,sector,conference,3,3,3,prior_three_run_majority
152003,own,sector,conference,3,3,3,prior_three_run_majority
152004,own,sector,conference,3,3,3,prior_three_run_majority
152008,own,sector,conference,3,3,3,prior_three_run_majority
152032,own,sector,conference,3,3,3,prior_three_run_majority
152043,own,sector,conference,3,3,3,prior_three_run_majority
152190,,,conference,,,3,prior_three_run_majority
152211,own,sector,conference,3,3,3,prior_three_run_majority
152225,,,conference,,,3,prior_three_run_majority
154461,,,diocese,,,2,prior_three_run_majority
154471,,,diocese,,,2,prior_three_run_majority
154971,household,sector,diocese,3,3,3,prior_three_run_majority
154998,own,sector,diocese,3,3,3,prior_three_run_majority
156669,,,parish,,,3,prior_three_run_majority
157017,own,sector,order,3,3,3,prior_three_run_majority
157433,own,sector,conference,3,3,3,prior_three_run_majority
160079,,,caritas,,,3,prior_three_run_majority
160293,household,sector,diocese,2,3,3,prior_three_run_majority
160508,household,sector,diocese,2,3,3,prior_three_run_majority
160572,household,sector,diocese,2,3,3,prior_three_run_majority
160638,household,sector,diocese,2,3,3,prior_three_run_majority
160639,household,sector,diocese,2,3,3,prior_three_run_majority
160803,own,sector,diocese,3,3,3,prior_three_run_majority
162802,own,sector,order,3,3,3,prior_three_run_majority
163154,,,caritas,,,3,prior_three_run_majority
163160,own,outside,order,3,3,3,prior_three_run_majority
166375,,,parish,,,2,prior_three_run_majority
168632,both,outside,church,2,3,3,prior_three_run_majority
169837,own,sector,diocese,3,3,3,prior_three_run_majority
169843,own,sector,diocese,3,3,3,prior_three_run_majority
170192,,,parish,,,3,prior_three_run_majority
170208,,,parish,,,3,prior_three_run_majority
170211,,,diocese,,,3,prior_three_run_majority
170216,,,parish,,,3,prior_three_run_majority
170227,,,parish,,,3,prior_three_run_majority
170254,,,parish,,,3,prior_three_run_majority
170255,,,diocese,,,3,prior_three_run_majority
170257,,,church,,,3,prior_three_run_majority
170258,,,conference,,,3,prior_three_run_majority
170259,,,conference,,,3,prior_three_run_majority
170283,,,conference,,,3,prior_three_run_majority
170285,,,conference,,,3,prior_three_run_majority
170289,,,conference,,,3,prior_three_run_majority
170292,,,diocese,,,3,prior_three_run_majority
170294,,,diocese,,,3,prior_three_run_majority
170298,,,diocese,,,3,prior_three_run_majority
170299,,,diocese,,,3,prior_three_run_majority
170304,,,diocese,,,3,prior_three_run_majority
170308,,,conference,,,3,prior_three_run_majority
170312,,,diocese,,,3,prior_three_run_majority
170314,,,diocese,,,3,prior_three_run_majority
170324,,,diocese,,,3,prior_three_run_majority
170328,,,parish,,,3,prior_three_run_majority
170329,,,diocese,,,2,prior_three_run_majority
170330,,,diocese,,,2,prior_three_run_majority
170331,,,parish,,,3,prior_three_run_majority
170333,,,parish,,,2,prior_three_run_majority
170338,,,parish,,,2,prior_three_run_majority
170351,,,church,,,3,prior_three_run_majority
170352,,,parish,,,3,prior_three_run_majority
170355,,,parish,,,3,prior_three_run_majority
170366,,,parish,,,3,prior_three_run_majority
170424,,,parish,,,3,prior_three_run_majority
170499,,,conference,,,3,prior_three_run_majority
172870,own,sector,order,3,3,3,prior_three_run_majority
173034,own,sector,order,3,3,3,prior_three_run_majority
173038,own,sector,order,3,3,3,prior_three_run_majority
173058,own,sector,order,3,3,3,prior_three_run_majority
174063,,,none,,,3,prior_three_run_majority
174368,own,sector,diocese,3,3,3,prior_three_run_majority
174790,,,none,,,3,prior_three_run_majority
177215,,,parish,,,2,prior_three_run_majority
177961,,,none,,,3,prior_three_run_majority
178955,,,church,,,1,prior_three_run_majority
179270,,,vatican,,,3,prior_three_run_majority
179893,own,sector,diocese,3,3,3,prior_three_run_majority
180323,own,sector,diocese,3,3,3,prior_three_run_majority
180397,own,sector,diocese,3,3,3,prior_three_run_majority
180977,,,church,,,3,prior_three_run_majority
183706,,,vatican,,,3,prior_three_run_majority
184232,own,sector,parish,3,3,3,prior_three_run_majority
184241,own,sector,parish,3,3,3,prior_three_run_majority
184374,own,sector,parish,3,3,3,prior_three_run_majority
184753,,,none,,,3,prior_three_run_majority
186144,own,outside,none,3,3,2,prior_three_run_majority
186926,,,none,,,3,prior_three_run_majority
192949,,,diocese,,,1,corpus_v1_addendum
193149,,,diocese,,,3,prior_three_run_majority
194717,,,diocese,,,2,prior_three_run_majority
194847,,,diocese,,,3,prior_three_run_majority
194873,,,diocese,,,3,prior_three_run_majority
200269,,,diocese,,,3,prior_three_run_majority
200270,,,church,,,2,prior_three_run_majority
200380,,,church,,,2,prior_three_run_majority
205349,,,diocese,,,3,prior_three_run_majority
208268,,,caritas,,,3,prior_three_run_majority
208363,,,caritas,,,3,prior_three_run_majority
208890,,,none,,,3,prior_three_run_majority
209060,,,none,,,3,prior_three_run_majority
209605,household,outside,none,2,2,3,prior_three_run_majority
215166,own,sector,parish,3,3,3,prior_three_run_majority
216304,,,church,,,3,prior_three_run_majority
217296,household,sector,diocese,3,3,3,prior_three_run_majority
217666,,,diocese,,,2,prior_three_run_majority
217702,,,diocese,,,2,prior_three_run_majority
221181,own,sector,conference,3,3,3,prior_three_run_majority
221194,own,sector,conference,3,3,3,prior_three_run_majority
226371,,,caritas,,,3,prior_three_run_majority
228792,household,sector,diocese,3,3,3,prior_three_run_majority
230645,,,caritas,,,3,prior_three_run_majority
231569,,,none,,,3,prior_three_run_majority
231677,,,none,,,3,prior_three_run_majority
236623,,,parish,,,3,prior_three_run_majority
236638,own,sector,parish,3,3,3,prior_three_run_majority
236647,own,sector,parish,3,3,3,prior_three_run_majority
236660,own,sector,parish,3,3,3,prior_three_run_majority
236699,own,sector,parish,3,3,3,prior_three_run_majority
236995,,,caritas,,,3,prior_three_run_majority
238908,,,parish,,,2,prior_three_run_majority
239149,household,sector,caritas,3,3,2,prior_three_run_majority
240006,household,sector,diocese,3,3,3,prior_three_run_majority
240023,household,sector,diocese,3,3,3,prior_three_run_majority
241956,,,vatican,,,3,prior_three_run_majority
241962,,,vatican,,,3,prior_three_run_majority
241963,,,vatican,,,3,prior_three_run_majority
242702,own,sector,parish,2,3,2,prior_three_run_majority
242705,,,parish,,,3,prior_three_run_majority
242815,,,parish,,,3,prior_three_run_majority
242901,,,parish,,,3,prior_three_run_majority
244160,,,caritas,,,3,prior_three_run_majority
244591,,,parish,,,3,prior_three_run_majority
244664,,,parish,,,3,prior_three_run_majority
244681,,,parish,,,3,prior_three_run_majority
244708,household,sector,caritas,3,3,3,prior_three_run_majority
244769,,,parish,,,3,prior_three_run_majority
244774,,,parish,,,3,prior_three_run_majority
244775,,,parish,,,3,prior_three_run_majority
245308,,,church,,,3,prior_three_run_majority
245327,,,none,,,3,prior_three_run_majority
248124,,,caritas,,,3,prior_three_run_majority
248125,,,caritas,,,3,prior_three_run_majority
250304,own,sector,diocese,3,3,3,prior_three_run_majority
250576,,,parish,,,3,prior_three_run_majority
250902,household,sector,diocese,3,3,3,prior_three_run_majority
255509,own,sector,diocese,3,3,3,prior_three_run_majority
255555,own,sector,diocese,3,3,3,prior_three_run_majority
255604,own,sector,diocese,3,3,3,prior_three_run_majority
255669,own,sector,diocese,3,3,3,prior_three_run_majority
255679,own,sector,diocese,3,3,3,prior_three_run_majority
255681,own,sector,diocese,3,3,3,prior_three_run_majority
255756,own,sector,diocese,3,3,3,prior_three_run_majority
255761,own,sector,diocese,3,3,3,prior_three_run_majority
255767,own,sector,diocese,3,3,3,prior_three_run_majority
255788,own,sector,diocese,3,3,3,prior_three_run_majority
255789,own,sector,diocese,3,3,3,prior_three_run_majority
256548,,,conference,,,3,prior_three_run_majority
256558,,,conference,,,3,prior_three_run_majority
257235,,,none,,,3,prior_three_run_majority
257844,,,conference,,,2,prior_three_run_majority
257945,own,sector,parish,3,3,3,prior_three_run_majority
258223,,,parish,,,3,prior_three_run_majority
258251,,,diocese,,,3,prior_three_run_majority
258253,,,parish,,,3,prior_three_run_majority
258346,,,conference,,,3,prior_three_run_majority
258396,,,conference,,,3,prior_three_run_majority
258397,,,conference,,,3,prior_three_run_majority
258398,,,conference,,,3,prior_three_run_majority
258413,,,conference,,,3,prior_three_run_majority
261970,own,sector,diocese,3,3,3,prior_three_run_majority
263001,own,sector,diocese,3,3,3,prior_three_run_majority
263027,own,sector,diocese,3,3,3,prior_three_run_majority
265838,,,conference,,,3,prior_three_run_majority
265847,,,conference,,,3,prior_three_run_majority
265852,,,conference,,,3,prior_three_run_majority
265873,,,conference,,,3,prior_three_run_majority
265877,,,conference,,,3,prior_three_run_majority
265878,,,conference,,,3,prior_three_run_majority
265891,,,conference,,,3,prior_three_run_majority
265931,,,conference,,,3,prior_three_run_majority
265951,,,conference,,,3,prior_three_run_majority
265967,,,conference,,,3,prior_three_run_majority
265973,,,conference,,,3,prior_three_run_majority
265989,,,conference,,,3,prior_three_run_majority
265994,,,conference,,,3,prior_three_run_majority
266028,,,conference,,,3,prior_three_run_majority
266029,,,conference,,,3,prior_three_run_majority
266065,,,conference,,,3,prior_three_run_majority
266095,,,conference,,,3,prior_three_run_majority
266104,,,conference,,,3,prior_three_run_majority
266108,,,conference,,,3,prior_three_run_majority
266112,,,conference,,,3,prior_three_run_majority
266118,,,conference,,,3,prior_three_run_majority
266129,,,conference,,,3,prior_three_run_majority
266131,,,conference,,,3,prior_three_run_majority
266132,,,conference,,,3,prior_three_run_majority
266134,,,conference,,,3,prior_three_run_majority
266143,,,conference,,,3,prior_three_run_majority
266146,,,conference,,,3,prior_three_run_majority
266152,,,conference,,,3,prior_three_run_majority
266160,,,conference,,,3,prior_three_run_majority
266164,,,conference,,,3,prior_three_run_majority
266166,,,conference,,,3,prior_three_run_majority
266180,,,conference,,,3,prior_three_run_majority
266181,,,conference,,,3,prior_three_run_majority
266182,,,conference,,,3,prior_three_run_majority
266185,,,conference,,,3,prior_three_run_majority
266186,,,conference,,,3,prior_three_run_majority
266192,,,conference,,,3,prior_three_run_majority
266194,,,conference,,,3,prior_three_run_majority
266196,,,conference,,,3,prior_three_run_majority
266204,,,conference,,,3,prior_three_run_majority
266206,,,conference,,,3,prior_three_run_majority
266210,,,conference,,,3,prior_three_run_majority
266218,,,conference,,,3,prior_three_run_majority
266233,,,conference,,,3,prior_three_run_majority
266574,,,conference,,,3,prior_three_run_majority
266715,,,conference,,,3,prior_three_run_majority
266873,,,conference,,,3,prior_three_run_majority
266900,,,conference,,,3,prior_three_run_majority
267131,,,conference,,,3,prior_three_run_majority
267132,,,conference,,,3,prior_three_run_majority
267133,,,conference,,,3,prior_three_run_majority
267446,,,conference,,,3,prior_three_run_majority
267462,,,conference,,,3,prior_three_run_majority
267793,,,conference,,,3,prior_three_run_majority
267892,,,conference,,,3,prior_three_run_majority
269813,,,caritas,,,3,prior_three_run_majority
269814,,,caritas,,,3,prior_three_run_majority
270223,,,caritas,,,3,prior_three_run_majority
270227,,,caritas,,,3,prior_three_run_majority
270270,,,caritas,,,3,prior_three_run_majority
273135,,,parish,,,3,prior_three_run_majority
283308,both,sector,parish,2,2,3,prior_three_run_majority
285728,,,none,,,3,prior_three_run_majority
293764,,,none,,,1,corpus_v1_addendum
294825,,,none,,,1,corpus_v1_addendum
294826,,,none,,,1,corpus_v1_addendum
297049,,,none,,,3,prior_three_run_majority
325977,,,none,,,3,prior_three_run_majority
335796,,,caritas,,,3,prior_three_run_majority
337223,own,sector,parish,3,3,3,prior_three_run_majority
340952,,,order,,,3,prior_three_run_majority
344238,,,none,,,3,prior_three_run_majority
352510,,,none,,,3,prior_three_run_majority
352751,,,none,,,3,prior_three_run_majority
358113,,,caritas,,,3,prior_three_run_majority
359536,,,caritas,,,3,prior_three_run_majority
361345,,,caritas,,,3,prior_three_run_majority
361807,,,caritas,,,3,prior_three_run_majority
364866,,,caritas,,,3,prior_three_run_majority
379558,,,none,,,1,corpus_v1_addendum
382219,household,outside,diocese,3,3,3,prior_three_run_majority
396660,,,diocese,,,3,prior_three_run_majority
415420,own,sector,diocese,3,3,3,prior_three_run_majority
422379,,,parish,,,2,prior_three_run_majority
422655,,,parish,,,2,prior_three_run_majority
429670,,,vatican,,,2,prior_three_run_majority
438949,,,none,,,3,prior_three_run_majority
439062,,,none,,,3,prior_three_run_majority
455701,,,none,,,3,prior_three_run_majority
455950,,,none,,,1,corpus_v1_addendum
455951,,,none,,,1,corpus_v1_addendum
466851,,,caritas,,,3,prior_three_run_majority
467063,,,caritas,,,3,prior_three_run_majority
481777,,,caritas,,,3,prior_three_run_majority
488167,,,caritas,,,3,prior_three_run_majority
488216,,,caritas,,,3,prior_three_run_majority
490026,,,church,,,2,prior_three_run_majority
497870,,,caritas,,,3,prior_three_run_majority
497937,,,caritas,,,3,prior_three_run_majority
498244,,,caritas,,,3,prior_three_run_majority
498484,,,caritas,,,3,prior_three_run_majority
500181,,,none,,,3,prior_three_run_majority
501936,other,sector,vatican,3,2,2,prior_three_run_majority
507050,,,diocese,,,3,prior_three_run_majority
507230,,,diocese,,,3,prior_three_run_majority
507441,,,parish,,,2,prior_three_run_majority
507535,household,sector,diocese,3,2,2,prior_three_run_majority
508083,household,sector,diocese,3,3,3,prior_three_run_majority
508179,household,sector,diocese,3,3,3,prior_three_run_majority
508200,household,sector,diocese,3,3,3,prior_three_run_majority
508505,household,sector,diocese,3,3,3,prior_three_run_majority
508506,household,sector,diocese,3,3,3,prior_three_run_majority
508507,household,sector,diocese,3,3,3,prior_three_run_majority
508677,household,sector,diocese,3,3,3,prior_three_run_majority
508732,household,sector,diocese,3,3,3,prior_three_run_majority
508789,household,sector,diocese,3,3,3,prior_three_run_majority
513268,,,diocese,,,3,prior_three_run_majority
516971,,,parish,,,2,prior_three_run_majority
548041,,,caritas,,,3,prior_three_run_majority
550292,own,sector,parish,3,3,3,prior_three_run_majority
554841,,,none,,,1,corpus_v1_addendum
558408,,,none,,,3,prior_three_run_majority
576829,own,sector,diocese,3,3,3,prior_three_run_majority
576911,own,sector,diocese,3,3,3,prior_three_run_majority
577000,own,sector,diocese,3,3,3,prior_three_run_majority
577206,own,sector,diocese,3,3,3,prior_three_run_majority
612327,,,diocese,,,3,prior_three_run_majority
612368,,,diocese,,,3,prior_three_run_majority
612433,,,diocese,,,3,prior_three_run_majority
613037,,,diocese,,,3,prior_three_run_majority
613041,,,diocese,,,3,prior_three_run_majority
613143,,,diocese,,,3,prior_three_run_majority
614268,other,sector,none,3,2,2,prior_three_run_majority
620330,,,diocese,,,3,prior_three_run_majority
620332,,,diocese,,,3,prior_three_run_majority
620346,,,diocese,,,3,prior_three_run_majority
628484,,,none,,,3,prior_three_run_majority
628521,,,none,,,3,prior_three_run_majority
631019,,,none,,,3,prior_three_run_majority
632742,own,sector,none,3,3,2,prior_three_run_majority
635936,,,diocese,,,3,prior_three_run_majority
636174,,,diocese,,,3,prior_three_run_majority
636201,,,diocese,,,3,prior_three_run_majority
636207,,,diocese,,,3,prior_three_run_majority
636209,,,diocese,,,3,prior_three_run_majority
636242,,,diocese,,,3,prior_three_run_majority
657630,household,sector,diocese,3,3,3,prior_three_run_majority
658229,,,caritas,,,2,prior_three_run_majority
658303,,,diocese,,,3,prior_three_run_majority
659790,,,caritas,,,2,prior_three_run_majority
664882,,,none,,,3,prior_three_run_majority
666632,,,none,,,3,prior_three_run_majority
666642,,,none,,,3,prior_three_run_majority
666764,,,none,,,3,prior_three_run_majority
667718,,,none,,,3,prior_three_run_majority
668667,,,diocese,,,3,prior_three_run_majority
675354,,,none,,,1,corpus_v1_addendum
677479,,,none,,,3,prior_three_run_majority
681068,,,diocese,,,3,prior_three_run_majority
681291,,,caritas,,,3,prior_three_run_majority
681398,,,caritas,,,3,prior_three_run_majority
683471,,,none,,,2,prior_three_run_majority
703903,,,diocese,,,3,prior_three_run_majority
703909,,,diocese,,,3,prior_three_run_majority
704032,,,diocese,,,3,prior_three_run_majority
704144,,,diocese,,,3,prior_three_run_majority
704153,,,diocese,,,3,prior_three_run_majority
704191,,,diocese,,,3,prior_three_run_majority
704198,,,diocese,,,3,prior_three_run_majority
704199,,,diocese,,,3,prior_three_run_majority
704203,,,diocese,,,3,prior_three_run_majority
704207,,,diocese,,,3,prior_three_run_majority
704242,,,diocese,,,3,prior_three_run_majority
704259,,,diocese,,,3,prior_three_run_majority
704335,,,diocese,,,3,prior_three_run_majority
