FROM,posts,infl,pct
Samostan i župa sv. Ante Padovanskog - Šubićevac,6,0,0
Biblijska Crkva Milosti,6,0,0
Baptistička crkva  SEZ Umag,6,0,0
Franjevački bogoslovi - Split,6,0,0
Duhovne priče,6,0,0
"Nadbiskupijski centar za pastoral mladih ""Ivan Pavao II.""",6,0,0
MARIJA MAJKA ISUSOVA SPASITELJA,6,0,0
Karlovačka županija,6,0,0
Caritas Dubrovačke biskupije,5,0,0
Svjedočanstvo i propovijed,5,0,0
"Župni zbor Presvetog Srca Isusova - Visoka, Split",5,0,0
Franjevački Juniorat,5,0,0
KATOLIBAN,5,0,0
srijemska_biskupija,5,0,0
Župa Okruk,5,0,0
Župa Sv. Tri Kralja - Kraljev Vrh,5,0,0
Javna ustanova Priroda Šibensko-kninske županije,5,0,0
shkm2026,5,0,0
CRKVA CJELOVITOG EVANĐELJA,4,0,0
zupa-bl-stepinac.hr,4,0,0
zupanet.hr,4,0,0
Baptistička Crkva u Požegi,4,0,0
Duhovne pouke i razmišljanja,4,0,0
Franjevačka mladež,4,0,0
Župa bl. Ivan Merz,4,0,0
Župa Solinskih mučenika,4,0,0
Subotička biskupija - Szabadkai Egyházmegye,4,0,0
Hrvatska katolička televizija,4,0,0
Domovinski pokret Karlovačke županije,4,0,0
Baptistička crkva Zadar BCZ,4,0,0
🧿Tarot duhovnog buđenja🧿,4,0,0
ZvonaDubrovačkeBiskupije,4,0,0
"Zajednica žena ""Katarina Zrinski"" Splitsko-dalmatinske Županije",3,0,0
hvarskabiskupija.hr,3,0,0
Hvarska biskupija,3,0,0
katolik.hr,3,0,0
Župa Voloder,3,0,0
Spas u Isusovim Evanđeljima,3,0,0
"KMNL ""brat Bonifacije Pavletić"" Sisačka biskupija",3,0,0
Župa Pohoda B.D. Marije - Čučerje,3,0,0
"HUPED - HRVATSKO UDRUŽENJE ZA PRIRODNU, ENERGETSKU I DUHOVNU MEDICINU",3,0,0
HSS Zagrebačke županije,3,0,0
Biti Katolik,3,0,0
Župa B.D. Marije Anđeoske,3,0,0
Gospino svetište Komušina-Kondžilo,3,0,0
METODISTI   Evangelička metodistička crkva,3,0,0
Srpska pravoslavna crkva Frankfurt/M.,3,0,0
Susreti Hrvatske Katoličke Mladeži,3,0,0
Župa Dobrog Pastira-Brestje,3,0,0
Baština duhovnosti,3,0,0
Baptistička crkva Mačkovec (BCM),3,0,0
Župa sv. Petra i Pavla Zgošća - Kakanj,3,0,0
Hrišćanska adventistička crkva Niš,3,0,0
Tajne Samostana,3,0,0
Svetište Priča,3,0,0
Isusova Ljubav,3,0,0
Duhovne diskusije,3,0,0
SDP Krapinsko-zagorske županije,3,0,0
Hrišćanska adventistička crkva,3,0,0
DUHOVNI PASTIR,3,0,0
Centar za poduzetništvo Dubrovačko-neretvanske županije,3,0,0
Župa Deževice,2,0,0
zupa.hr,2,0,0
Isusov Ratnik 2,2,0,0
Isusovci HR,2,0,0
franjevcitrecoredci.hr,2,0,0
Caritas Zagrebačke nadbiskupije,2,0,0
Župa sv. Fabijana i Sebastijana Varaždin,2,0,0
Franjevački muzej - Karlovac,2,0,0
Župa Petrovina i svetište Majke Božje Volavje,2,0,0
franjevci-st.com,2,0,0
Susret hrvatske katoličke mladeži Zagreb 2020.,2,0,0
IKA - Informativna katolička agencija,2,0,0
"Župa svetog Dominika, Konjščina",2,0,0
Župa Tuhelj-PAX,2,0,0
Župa Prikazanja BDM - Kistanje,2,0,0
Katolički Memovi,2,0,0
Kršćanska proročka crkva Maranatha,2,0,0
Društvo Crvenog križa Splitsko-dalmatinske županije,2,0,0
Isusov Ratnik,2,0,0
Molitvena zajednica Srce Isusovo,2,0,0
Župa Remete Zagreb,2,0,0
Franjevačka kuća molitve Masna Luka,2,0,0
Hrvatska katolička misija Köln,2,0,0
Katolički bogoslovni fakultet u Đakovu,2,0,0
Splitsko-dalmatinska županija,2,0,0
Crkva Božja,2,0,0
Župa Gospe U Siti - Strožanac,2,0,0
"BIBLIJA, DUHOVNOST I DRAGA BRAĆA I SESTRE",2,0,0
Svetište Predragocjene Krvi Kristove - Ludbreg,2,0,0
Isusov ratnik Loredana,2,0,0
Dom i nacionalno okupljanje Varaždinske županije,2,0,0
Župa Presvetoga Spasitelja - Mokošica,2,0,0
Turistička zajednica Brodsko posavske županije,2,0,0
SAVJETOVALIŠTA ĐAKOVAČKO-OSJEČKE NADBISKUPIJE,2,0,0
REFORMOKATOLIK,2,0,0
KATOLIČKE MOLITVE,2,0,0
EPC Cerna - Kristova Duhovna Evanđeoska Crkva,2,0,0
HDZ Šibensko-kninske županije,2,0,0
Vjera u Sukobu,2,0,0
BIBLIJA I DUHOVNOST 2,2,0,0
Kristova Pentekosna Crkva,2,0,0
zupajastrebarsko.hr,2,0,0
Duhovne Staze,2,0,0
Crkvena zvona Splitsko-makarske Nadbiskupije,2,0,0
duhovnaakademija.com,2,0,0
Zadarska nadbiskupija,2,0,0
Isusov Pomazanik,2,0,0
"Baptistička crkva ""Božja riječ"" Varaždin",2,0,0
Vlado Franjevic - fine & interdisciplinary artist & author,2,0,0
shkm2026.hr,2,0,0
Kršćanska Adventistička Crkva Vrapče,2,0,0
Primorsko-goranska županija,2,0,0
Crkva pod satorom TV,2,0,0
Gospićko Senjska Biskupija,2,0,0
Župa sv. Vida Mučenika - Petruševec,2,0,0
rvat_katolik @ r/askcroatia,2,0,0
zupa-novoselo-balegovac.com,1,0,0
Župna Crkva Sv. Ante Padovanskog Čuklić,1,0,0
Muževi katolici,1,0,0
katolicka-gimnazija.hr,1,0,0
zupa-sv-petra-i-pavla.hr,1,0,0
Katoličko Pravovjerje,1,0,0
VJERA-UFANJE-LJUBAV,1,0,0
zupa-bezgresnog-zaceca-bdm.hr,1,0,0
biskupija-porecko-pulska.hr,1,0,0
zupa-gajnice.hr,1,0,0
Zdrug katoličkih skauta Hrvatske,1,0,0
Vrhbosanska nadbiskupija,1,0,0
Katolička karizmatska Obnova u Duhu Svetom,1,0,0
"KATOLIČKA OSNOVNA ŠKOLA, ŠIBENIK",1,0,0
Franjevci Jastrebarsko,1,0,0
zupa-rogoznica.hr,1,0,0
katolik20.com,1,0,0
Hrana za dušu 2. kanal,1,0,0
Isusovci,1,0,0
Pastoral mladih Bjelovarsko-križevačke biskupije,1,0,0
zupa-tijela-kristova.hr,1,0,0
zupaporec.com,1,0,0
Svetište Gospe od Milosrđa,1,0,0
Franjevci Karlovac - župa Presvetog Trojstva,1,0,0
Mladež HDZ-a Istarske županije,1,0,0
ŽUPA Uznesenja BDM Kloštar Ivanić,1,0,0
Ljekarna Splitsko-dalmatinske županije,1,0,0
Protestantska reformirana kršćanska crkva Karlovac,1,0,0
Mladež HDZ-a Koprivničko-križevačke županije,1,0,0
Caritas Riječke nadbiskupije,1,0,0
Školske sestre franjevke,1,0,0
zupa-marijagorica.hr,1,0,0
Turistička zajednica Koprivničko-križevačke županije,1,0,0
Svetište Aljmaš - Gospa od Utočišta,1,0,0
gospicko-senjska-biskupija.hr,1,0,0
tz-zupanja.hr,1,0,0
Župa Gospe U Siti,1,0,0
KMNL brat Bonifacije Pavletić Sisačka biskupija,1,0,0
Hrvatski Caritas,1,0,0
Animatori - Župa UBDM Kaštel Lukšić,1,0,0
Nadbiskupijska škola za crkvenu glazbu Rijeka,1,0,0
zupa-svmarkaev.hr,1,0,0
ŽUPA SASINA,1,0,0
Vijeće franjevačkih zajednica,1,0,0
Župa Gorica Struge,1,0,0
hkm-graz.org,1,0,0
Šokačko sijelo Županja,1,0,0
Baptistička crkva Mačkovec,1,0,0
Župa Gospa od Ružarija Budimiri,1,0,0
Crkva Božja SM,1,0,0
"Župa Sveti Križ - Veli Varoš, Split",1,0,0
Župa Petrijevci,1,0,0
Duhovna Snaga,1,0,0
Caritas Sisačke biskupije,1,0,0
"Crkva Poruke, Kovačica",1,0,0
Hrana za dušu Shorts,1,0,0
Studij istočne kršćanske duhovnosti - SIKD,1,0,0
franjevke-dubrovnik-dance.net,1,0,0
HDZ Dubrovačko-neretvanske županije,1,0,0
Baptistička crkva Rijeka,1,0,0
Istarska županija - Regione Istriana,1,0,0
Crkva VG,1,0,0
zupa-pbd-marije.hr,1,0,0
zupa-presvetog-srca-isusova.hr,1,0,0
Župan.hr,1,0,0
Katolička gimnazija Ivana Pavla II.,1,0,0
Tradicionalne katoličke propovijedi,1,0,0
isusovcidubrovnik.com,1,0,0
Domovinski pokret Varaždinske županije,1,0,0
salezijanci-kman.hr,1,0,0
Protestantska reformirana kršćanska crkva,1,0,0
Mladež HDZ-a Šibensko-kninske županije,1,0,0
Župa Gabela,1,0,0
U IME ISUSOVO,1,0,0
BIBLIJA I DUHOVNA ZNANOST,1,0,0
Baptistička crkva Petrinja,1,0,0
INTERNACIONALNA CRKVA PULA,1,0,0
Franjevački samostan Humac,1,0,0
zupasnjeznegospe,1,0,0
isusovi_ucenici,1,0,0
zupa-surkovac.com,1,0,0
HDZ Sisačko-moslavačke županije,1,0,0
Hrišćanska Adventistička Crkva Beč,1,0,0
Župa Svih Svetih Blato,1,0,0
Borgo Laudato si',1,0,0
Zagrebačka županija,1,0,0
Vjeran Kursar,1,0,0
Hvala Ti Gospodine (Duhovna Obnova),1,0,0
dijana.duhovnostupraksi,1,0,0
zupa.sv.ilija.met,1,0,0
zupasv.petra.ap,1,0,0
